passenger_id,name,age,gender,contact_number,email
7,"Suresh Kumar",60,Male,9345127890,suresh.kumar@email.com
5,"Vikram Singh",52,Male,9321654789,vikram.singh@email.com
3,"Rohit Patil",45,Male,9988776655,rohit.patil@email.com
6,"Anjali Deshmukh",40,Female,9456123789,anjali.deshmukh@email.com
9,"Rahul Mehta",37,Male,9876501234,rahul.mehta@email.com
1,"Amit Sharma",34,Male,9876543210,amit.sharma@email.com
4,"Sneha Joshi",31,Female,9765432109,sneha.joshi@email.com
10,"Kavita Gaikwad",29,Female,9123004567,kavita.gaikwad@email.com
2,"Priya Verma",28,Female,9123456780,priya.verma@email.com
8,"Neha Kulkarni",22,Female,9988223344,neha.kulkarni@email.com
